ChEMBL ID;Receptor;Species;Purchasable;No. records;Assay type;Min.;Average;Max.;Unit;Mol. weight;Rot. Bonds;H don;H acc;LogP;Smiles
AM11542;361;Smallmolecule;None;-;1;Human;0;Binding;1;10.0;10.0;10.0;pKi;GuidetoPharmacology;448;7;1;2;7.6;BrCCCCCCC(c1cc(O)c2c(c1)OC([C@H]1[C@H]2CC(=CC1)C)(C)C)(C)C
AM6538;371;Smallmolecule;None;-;1;Human;0;Binding;1;8.3;8.3;8.3;pKi;GuidetoPharmacology;541;7;1;7;5.2;[O-][N+](=O)OCCC#Cc1ccc(cc1)c1c(C)c(nn1c1ccc(cc1Cl)Cl)C(=O)NN1CCCCC1
AM6545;372;Smallmolecule;None;-;1;Human;24;Binding;2;8.5;8.5;8.5;pKi;GuidetoPharmacology;555;5;1;7;4.2;N#CCCC#Cc1ccc(cc1)c1c(C)c(nn1c1ccc(cc1Cl)Cl)C(=O)NN1CCS(=O)(=O)CC1
AM6545;372;Smallmolecule;None;-;1;Human;24;Binding;2;9.0;9.0;9.0;Ki;ChEMBL;555;5;1;7;4.2;N#CCCC#Cc1ccc(cc1)c1c(C)c(nn1c1ccc(cc1Cl)Cl)C(=O)NN1CCS(=O)(=O)CC1
AM841;374;Smallmolecule;None;-;1;Human;0;Binding;1;8.9;8.9;8.9;pKi;GuidetoPharmacology;445;9;2;5;6.4;S=C=NCCCCCCC(c1cc(O)c2c(c1)OC([C@H]1[C@H]2C[C@H](CO)CC1)(C)C)(C)C
anandamide;397;Smallmolecule;None;1;5;Human;31;Binding;22;6.3;6.6;7.0;pKi;GuidetoPharmacology;347;16;2;2;5.2;CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NCCO
anandamide;397;Smallmolecule;None;1;5;Human;31;Binding;22;5.8;7.0;8.0;Ki;ChEMBL;347;16;2;2;5.2;CCCCC/C=C\C/C=C\C/C=C\C/C=C\CCCC(=O)NCCO
BAY-593074;558;Smallmolecule;None;-1;3;Human;41;Binding;3;7.3;7.3;7.3;pKi;GuidetoPharmacology;453;7;0;5;5.4;N#Cc1c(cccc1C(F)(F)F)Oc1cccc(c1)OS(=O)(=O)CCCC(F)(F)F
BAY-593074;558;Smallmolecule;None;-1;3;Human;41;Binding;3;7.3;7.3;7.3;Ki;ChEMBL;453;7;0;5;5.4;N#Cc1c(cccc1C(F)(F)F)Oc1cccc(c1)OS(=O)(=O)CCCC(F)(F)F
cannabidiol;750;Smallmolecule;None;-1;11;Human;33;Binding;6;5.4;5.5;5.8;Ki;ChEMBL;314;6;2;2;5.8;CCCCCc1cc(O)c(c(c1)O)[C@@H]1C=C(C)CC[C@H]1C(=C)C
cannabidiol;750;Smallmolecule;None;-1;11;Human;33;Binding;6;8.3;8.2;8.3;pKi;DrugCentral;314;6;2;2;5.8;CCCCCc1cc(O)c(c(c1)O)[C@@H]1C=C(C)CC[C@H]1C(=C)C
cannabinol;751;Smallmolecule;None;-2;3;Human;25;Binding;4;6.0;6.2;6.5;pKi;GuidetoPharmacology;310;4;1;2;5.7;CCCCCc1cc(O)c2c(c1)OC(c1c2cc(C)cc1)(C)C
cannabinol;751;Smallmolecule;None;-2;3;Human;25;Binding;4;6.5;7.2;7.9;Ki;ChEMBL;310;4;1;2;5.7;CCCCCc1cc(O)c2c(c1)OC(c1c2cc(C)cc1)(C)C
cannabinol;751;Smallmolecule;None;-2;3;Human;25;Binding;4;7.1;7.1;7.1;EC50;ChEMBL;310;4;1;2;5.7;CCCCCc1cc(O)c2c(c1)OC(c1c2cc(C)cc1)(C)C
compound70[PMID:26161824];1073;Smallmolecule;None;-;1;Human;0;Binding;1;8.2;8.2;8.2;pKi;GuidetoPharmacology;523;6;2;7;4.0;N#CCCC#Cc1ccc(cc1)c1c(CO)c(nn1c1ccc(cc1Cl)Cl)C(=O)NN1CCOCC1
CP55940;1120;Smallmolecule;None;-1;4;Human;21;Binding;79;8.3;8.8;9.2;pKi;GuidetoPharmacology;376;10;3;3;5.7;CCCCCCC(c1ccc(c(c1)O)[C@@H]1C[C@H](O)CC[C@H]1CCCO)(C)C
CP55940;1120;Smallmolecule;None;-1;4;Human;21;Binding;79;8.5;9.0;9.4;pKd;GuidetoPharmacology;376;10;3;3;5.7;CCCCCCC(c1ccc(c(c1)O)[C@@H]1C[C@H](O)CC[C@H]1CCCO)(C)C
CP55940;1120;Smallmolecule;None;-1;4;Human;21;Binding;79;7.9;9.0;9.6;Ki;ChEMBL;376;10;3;3;5.7;CCCCCCC(c1ccc(c(c1)O)[C@@H]1C[C@H](O)CC[C@H]1CCCO)(C)C
CP55940;1120;Smallmolecule;None;-1;4;Human;21;Binding;79;7.6;8.8;9.7;IC50;ChEMBL;376;10;3;3;5.7;CCCCCCC(c1ccc(c(c1)O)[C@@H]1C[C@H](O)CC[C@H]1CCCO)(C)C
CP55940;1120;Smallmolecule;None;-1;4;Human;21;Binding;79;7.7;8.3;9.5;EC50;ChEMBL;376;10;3;3;5.7;CCCCCCC(c1ccc(c(c1)O)[C@@H]1C[C@H](O)CC[C@H]1CCCO)(C)C
CP55940;1120;Smallmolecule;None;-1;4;Human;21;Binding;79;9.3;9.3;9.3;Kd;ChEMBL;376;10;3;3;5.7;CCCCCCC(c1ccc(c(c1)O)[C@@H]1C[C@H](O)CC[C@H]1CCCO)(C)C
Δ9-tetrahydrocannabinol;1279;Smallmolecule;None;-1;5;Human;18;Binding;28;7.3;7.3;7.4;pKi;GuidetoPharmacology;314;4;1;2;5.7;CCCCCc1cc(O)c2c(c1)OC([C@H]1[C@H]2C=C(C)CC1)(C)C
Δ9-tetrahydrocannabinol;1279;Smallmolecule;None;-1;5;Human;18;Binding;28;7.4;7.7;8.5;Ki;ChEMBL;314;4;1;2;5.7;CCCCCc1cc(O)c2c(c1)OC([C@H]1[C@H]2C=C(C)CC1)(C)C
Δ9-tetrahydrocannabinol;1279;Smallmolecule;None;-1;5;Human;18;Binding;28;8.6;8.6;8.6;IC50;ChEMBL;314;4;1;2;5.7;CCCCCc1cc(O)c2c(c1)OC([C@H]1[C@H]2C=C(C)CC1)(C)C
Δ9-tetrahydrocannabinol;1279;Smallmolecule;None;-1;5;Human;18;Binding;28;7.8;8.0;8.3;pKi;PDSPKiDatabase;314;4;1;2;5.7;CCCCCc1cc(O)c2c(c1)OC([C@H]1[C@H]2C=C(C)CC1)(C)C
Δ9-tetrahydrocannabinol;1279;Smallmolecule;None;-1;5;Human;18;Binding;28;8.1;8.1;8.1;pKi;DrugCentral;314;4;1;2;5.7;CCCCCc1cc(O)c2c(c1)OC([C@H]1[C@H]2C=C(C)CC1)(C)C
GAT211;1670;Smallmolecule;None;-;1;Human;24;Binding;13;6.8;6.9;6.9;Ki;ChEMBL;342;5;1;2;5.2;[O-][N+](=O)CC(c1c([nH]c2c1cccc2)c1ccccc1)c1ccccc1
GAT211;1670;Smallmolecule;None;-;1;Human;24;Binding;13;5.9;6.2;6.7;EC50;ChEMBL;342;5;1;2;5.2;[O-][N+](=O)CC(c1c([nH]c2c1cccc2)c1ccccc1)c1ccccc1
HU-210;1829;Smallmolecule;None;-1;3;Human;21;Binding;10;9.1;9.7;10.2;pKi;GuidetoPharmacology;386;7;2;3;6.2;CCCCCCC(c1cc(O)c2c(c1)OC([C@H]1[C@H]2CC(=CC1)CO)(C)C)(C)C
HU-210;1829;Smallmolecule;None;-1;3;Human;21;Binding;10;7.7;8.9;10.2;Ki;ChEMBL;386;7;2;3;6.2;CCCCCCC(c1cc(O)c2c(c1)OC([C@H]1[C@H]2CC(=CC1)CO)(C)C)(C)C
JD5037;1990;Smallmolecule;None;-;1;Human;27;Binding;2;9.5;9.5;9.5;pKi;GuidetoPharmacology;571;7;2;5;4.6;Clc1ccc(cc1)C1=NN(C[C@@H]1c1ccccc1)/C(=N\[C@H](C(=O)N)C(C)C)/NS(=O)(=O)c1ccc(cc1)Cl
JD5037;1990;Smallmolecule;None;-;1;Human;27;Binding;2;9.3;9.3;9.3;IC50;ChEMBL;571;7;2;5;4.6;Clc1ccc(cc1)C1=NN(C[C@@H]1c1ccccc1)/C(=N\[C@H](C(=O)N)C(C)C)/NS(=O)(=O)c1ccc(cc1)Cl
lenabasum;2165;Smallmolecule;None;9;2;Human;20;Binding;4;7.5;7.5;7.5;pKi;GuidetoPharmacology;400;7;2;3;6.3;CCCCCCC(c1cc(O)c2c(c1)OC([C@H]1[C@H]2CC(=CC1)C(=O)O)(C)C)(C)C
lenabasum;2165;Smallmolecule;None;9;2;Human;20;Binding;4;7.5;7.9;8.2;Ki;ChEMBL;400;7;2;3;6.3;CCCCCCC(c1cc(O)c2c(c1)OC([C@H]1[C@H]2CC(=CC1)C(=O)O)(C)C)(C)C
LY320135;2281;Smallmolecule;None;112;2;Human;46;Binding;2;6.9;6.9;6.9;pKi;GuidetoPharmacology;383;5;0;5;5.2;COc1ccc2c(c1)oc(c2C(=O)c1ccc(cc1)C#N)c1ccc(cc1)OC
